UniProtID,degree,betweenness_centrality,clustering_coefficent
Q9BU40,2,1.0595282874847542e-06,0.0
Q96RU3,29,8.650717757623783e-05,0.1330049261083744
Q96RU2,44,0.0002680162819035788,0.14693446088794926
Q59FT3,1,0.0,0.0
Q6VMQ6,61,0.0007424375405971199,0.03224043715846994
Q9NYU2,51,0.0002478054802782628,0.03294117647058824
Q96RU8,5,1.3108184234317435e-05,0.2
A4D1P6,4,1.0903695511144142e-06,0.0
P20393,11,1.5781039060261875e-05,0.23636363636363636
Q96L58,2,3.6176837359066476e-06,0.0
B4DV00,2,2.0230245191505483e-07,0.0
P55145,2,5.787586193867342e-07,0.0
P50395,30,0.00013779189741217174,0.09195402298850575
Q96A84,3,2.6390904854852935e-06,0.0
Q96A83,3,6.147269313452631e-07,0.0
P50391,3,0.00013504953517948123,0.0
Q9Y5A7,19,1.2825772289755724e-05,0.23391812865497075
Q9Y5A6,1,0.0,0.0
Q8NDW4,1,0.0,0.0
P21675,69,0.0001323075356664784,0.13427109974424553
Q13643,2,3.0156152892138486e-07,0.0
Q13642,48,0.00013460353276313465,0.04875886524822695
Q13641,23,4.167202970343929e-06,0.233201581027668
Q9Y5A9,22,4.5607362687989144e-05,0.2727272727272727
P40306,17,2.9817972457464034e-06,0.6102941176470589
Q9NS40,1,0.0,0.0
Q9UBM1,1,0.0,0.0
Q6XQN6,7,4.141893035843814e-05,0.09523809523809523
Q02127,11,8.963880780368553e-06,0.16363636363636364
O75569,30,5.4529651007414696e-05,0.10574712643678161
P78358,4,1.9576503535144134e-08,0.0
P62380,27,0.00013293305808649976,0.1111111111111111
P21673,59,0.0003016613892875136,0.03506721215663355
P49585,7,2.5775926794753095e-06,0.14285714285714285
Q96CN9,16,4.970028425357356e-05,0.05
P06239,134,0.0008023625553492238,0.07530019077544607
Q6ZRV2,7,3.8036592598267256e-06,0.6666666666666666
Q96KM6,58,0.00012476308031332794,0.022988505747126436
Q7L985,1,0.0,0.0
Q96CN7,31,7.020436473706657e-05,0.3634408602150538
Q96CN5,3,1.2919910640919878e-06,0.0
Q96CN4,5,2.334250429722519e-06,0.0
Q03188,18,2.173201703959739e-05,0.11764705882352941
O15068,9,3.947995313114639e-06,0.08333333333333333
Q5RKV6,43,0.00029198392644697957,0.17054263565891473
O15063,2,1.2428455396353148e-06,0.0
O15062,7,1.664739632337271e-05,0.0
O15061,11,5.509701505950234e-06,0.14545454545454545
P10646,17,0.00014400869156954365,0.09558823529411764
O15067,87,0.00011897297188846143,0.0582731889869019
P48551,16,8.943379896168451e-05,0.19166666666666668
P10643,4,4.181340829758021e-06,0.0
Q86WN1,7,1.3072243917138916e-05,0.047619047619047616
P36894,33,0.00026154373542881836,0.12310606060606061
Q8NAP8,20,3.436697455823712e-05,0.06315789473684211
Q9BXJ7,1,0.0,0.0
G3V3A4,1,0.0,0.0
P07093,16,7.78834975273582e-05,0.05
Q5T6X2,2,0.0,1.0
Q8NAP3,4,1.4301623906294086e-06,0.0
Q9NZM5,12,3.6212897716915086e-06,0.13636363636363635
Q9HC62,19,8.04522658733403e-05,0.21637426900584794
Q9NZM3,74,0.0003233108187943597,0.026656793780081452
P07099,6,1.1026588966065079e-05,0.0
Q9NZM1,8,1.2359821583824417e-06,0.21428571428571427
Q9BXJ1,4,2.229323100450419e-06,0.0
Q01968,20,0.00022273937665433775,0.1
P16189,29,1.5089337192700105e-05,0.0812807881773399
Q8N5G2,3,8.10599783986927e-07,0.0
Q8N5G0,6,1.230878362971482e-06,0.13333333333333333
Q12788,16,1.8251771846467666e-05,0.10833333333333334
Q12830,24,1.225727354385652e-05,0.2427536231884058
A1A5B4,1,0.0,0.0
Q5VUM1,2,1.8353137095947467e-05,0.0
Q03989,9,4.2187804621055266e-06,0.2222222222222222
Q96NH3,2,0.0,1.0
Q06609,104,0.0016920314502401478,0.05750560119492158
A8MZ54,1,0.0,0.0
Q9Y291,2,1.3030175202149992e-07,0.0
Q9Y296,13,2.388854916824811e-05,0.3974358974358974
Q9Y297,155,0.0018429575915666072,0.06945957268537914
Q9Y294,34,4.9997929733788224e-05,0.15508021390374332
Q9Y295,30,4.487412866815046e-05,0.12183908045977011
Q9BR09,1,0.0,0.0
P29084,35,5.526636074804832e-05,0.15966386554621848
Q6ICB4,1,0.0,0.0
