UniProtID,degree,betweenness_centrality,clustering_coefficent
Q9UHF7,5,5.483229408738814e-07,0.5
P41214,9,2.84656482914886e-05,0.16666666666666666
Q86VP1,23,1.4661833506611982e-05,0.24110671936758893
P41217,3,0.00015885356453323093,0.0
P41212,26,5.7342827768543835e-05,0.16615384615384615
Q92527,1,0.0,0.0
Q92520,17,3.203249416717601e-05,0.058823529411764705
Q92522,49,5.101700584328017e-05,0.15136054421768708
Q7L8L6,7,1.0786153493059229e-05,0.047619047619047616
Q9H4P4,21,4.82679214889829e-05,0.07142857142857142
P23352,5,4.539907952128648e-07,0.3
Q5T9C2,1,0.0,0.0
Q53HV7,3,2.8798045098422916e-07,0.3333333333333333
Q5T9C9,3,6.938693765137787e-08,0.0
Q02878,159,0.0002909900279251301,0.37839344001273784
Q9HAP6,11,2.958727488700742e-06,0.23636363636363636
P27449,8,3.0399091108923213e-05,0.03571428571428571
P27448,41,0.0002481654624482565,0.11829268292682926
Q9HAP2,3,7.462815941504778e-07,0.0
Q96HA7,26,1.9570573854079263e-05,0.18461538461538463
Q96HA1,20,7.082578887317786e-05,0.07368421052631578
Q96PM5,63,0.001127985091952503,0.04249871991807476
Q96HA9,4,4.507131103243042e-05,0.5
P31995,8,2.033482345064922e-06,0.42857142857142855
O75164,39,8.375882674916198e-05,0.10931174089068826
O75165,15,2.1505866060785003e-05,0.19047619047619047
O75167,6,4.459049909022034e-06,0.5333333333333333
Q9H211,51,7.10141069422935e-05,0.20392156862745098
O75161,4,3.9318651064610824e-07,0.16666666666666666
Q96G23,26,0.0005854021346282535,0.006153846153846154
Q7L3V2,1,0.0,0.0
Q96G21,4,5.9965114090822065e-06,0.0
P06865,27,3.5524203332115895e-05,0.13675213675213677
Q96G27,7,3.146499791835224e-06,0.0
Q96G25,47,0.00014118030265907795,0.33024976873265494
P11597,4,2.066331603966882e-06,0.0
Q9BWU1,53,0.00017350848659030291,0.22568940493468795
Q8TEH3,1,0.0,0.0
Q13233,139,0.00028998614298114277,0.1054113231154207
Q68DE3,1,0.0,0.0
O60383,46,0.00015134973323726044,0.024154589371980676
O60381,22,0.00017158587750491886,0.09956709956709957
Q9C0H9,8,1.3924645414583744e-06,0.2857142857142857
P08123,32,0.0002774426733370475,0.05846774193548387
Q9NXR1,8,7.819561285236641e-07,0.21428571428571427
Q96AH0,4,4.7989279109129894e-06,0.5
P10915,8,0.00012288633536212953,0.21428571428571427
P10914,34,1.9521014825089854e-05,0.20499108734402852
Q15760,1,0.0,0.0
Q07960,21,4.778224245553967e-05,0.06190476190476191
P10911,11,5.7389877637634064e-06,0.10909090909090909
Q6UW02,1,0.0,0.0
Q6UW01,3,0.00030500107642957047,0.0
P10912,39,0.00019639739442490456,0.11740890688259109
Q15768,7,0.00015501249548750758,0.0
Q8WUF8,1,0.0,0.0
Q6KB66,3,1.246928249642299e-07,0.0
Q8WUF5,10,1.3605262887178295e-06,0.4222222222222222
Q96BT3,10,2.572514900014322e-05,0.2222222222222222
Q02297,6,7.974372845928641e-07,0.4
P48147,11,4.628637001092051e-05,0.12727272727272726
P48146,2,5.860671696506101e-09,0.0
P48145,2,5.860671696506101e-09,0.0
Q99519,11,0.00016098380103218537,0.16363636363636364
O15417,4,5.96409593516889e-07,0.3333333333333333
Q9BQG0,100,0.0002784240953667803,0.2309090909090909
Q9BQG1,4,2.8284945133227657e-06,0.0
Q96RU7,68,0.0002567340667131714,0.014047410008779631
Q9BU40,2,1.3543216941464107e-06,0.0
Q96RU3,29,8.175227294394921e-05,0.1330049261083744
Q96RU2,44,0.0002551889213541813,0.14693446088794926
Q6VMQ6,61,0.0008715737104123757,0.03224043715846994
Q9NYU2,51,0.00029266190818715086,0.03294117647058824
Q96RU8,5,9.755584729107477e-06,0.2
A4D1P6,4,1.3462834219723549e-06,0.0
P20393,11,2.0022457631630252e-05,0.23636363636363636
Q96L58,2,4.606578675494519e-06,0.0
O95865,23,1.287944518656855e-05,0.05533596837944664
P55145,2,7.391627305022875e-07,0.0
P50395,30,0.00011853540986796004,0.09195402298850575
Q96A84,3,3.281549257309073e-06,0.0
Q96A83,3,7.006519260404119e-07,0.0
P50391,3,0.00015267792755330282,0.0
Q9Y5A7,19,1.3140538561473807e-05,0.23391812865497075
Q9Y5A6,1,0.0,0.0
Q8NDW4,1,0.0,0.0
P21675,69,0.0001330429382234612,0.13427109974424553
Q13642,48,0.0001434813662638966,0.04875886524822695
Q13641,23,4.08288805583762e-06,0.233201581027668
Q9Y5A9,22,3.793924057699319e-05,0.2727272727272727
P40306,17,3.76412306850412e-06,0.6102941176470589
Q9NS40,1,0.0,0.0
Q9UBM1,1,0.0,0.0
Q6XQN6,7,4.611697823567765e-05,0.09523809523809523
Q02127,11,1.137090176745437e-05,0.16363636363636364
O75569,30,5.669576463644988e-05,0.10574712643678161
P78358,4,2.5030695344252857e-08,0.0
P62380,27,0.00012954766027627665,0.1111111111111111
P21673,59,0.00029762413210938254,0.03506721215663355
P49585,7,2.5790930811934676e-06,0.14285714285714285
Q96CN9,16,6.163645972187072e-05,0.05
P06239,134,0.0008335921030580873,0.07530019077544607
Q6ZRV2,7,2.2298401309125017e-06,0.6666666666666666
P61160,74,0.00037689598119611473,0.1643835616438356
Q7L985,1,0.0,0.0
Q92917,19,4.728101638441058e-05,0.06432748538011696
Q96CN7,31,6.633449932577778e-05,0.3634408602150538
Q96CN5,3,1.6378537229397361e-06,0.0
Q96CN4,5,2.9507140271573797e-06,0.0
Q03188,18,2.229402034643216e-05,0.11764705882352941
O15068,9,2.8123215009127324e-06,0.08333333333333333
Q5RKV6,43,0.00027508781877091373,0.17054263565891473
O15063,2,1.6060507002069444e-06,0.0
O15062,7,1.4477400380965816e-05,0.0
O15061,11,6.979890937170265e-06,0.14545454545454545
P10646,17,0.00014086875384901947,0.09558823529411764
O15067,87,0.00014170953942027218,0.0582731889869019
P48551,16,0.00010173607071456902,0.19166666666666668
P10643,4,4.995953528266201e-06,0.0
Q86WN1,7,1.4945047507571772e-05,0.047619047619047616
Q8NAP8,20,4.193307094639053e-05,0.06315789473684211
Q9BXJ7,1,0.0,0.0
P07093,16,6.842622852379738e-05,0.05
Q8NAP3,4,1.8022249226933543e-06,0.0
Q9NZM5,12,4.581981068568134e-06,0.13636363636363635
Q9HC62,19,7.025011992488822e-05,0.21637426900584794
Q9NZM3,74,0.0003832935224693855,0.026656793780081452
P07099,6,1.4030837522457986e-05,0.0
Q9NZM1,8,1.5608859712558224e-06,0.21428571428571427
Q9BXJ1,4,2.841495458756377e-06,0.0
Q01968,20,0.0002193155055747737,0.1
P16189,29,1.7800176002565538e-05,0.0812807881773399
Q8N5G2,3,9.58957249779961e-07,0.0
Q8N5G0,6,1.4596765557254083e-06,0.13333333333333333
Q12788,16,2.244741821712799e-05,0.10833333333333334
A1A5B4,1,0.0,0.0
Q5VUM1,2,2.3381677653340406e-05,0.0
Q03989,9,5.35353428622481e-06,0.2222222222222222
Q96NH3,2,0.0,1.0
Q06609,75,0.00040046740207322665,0.10234234234234234
Q9Y291,2,1.6219073830992433e-07,0.0
Q9Y296,13,3.0046445935928456e-05,0.3974358974358974
Q9Y297,155,0.0018265938921444888,0.06945957268537914
Q9Y294,34,5.0249444501109836e-05,0.15508021390374332
Q9Y295,30,5.5878873925450936e-05,0.12183908045977011
Q9BR09,1,0.0,0.0
P29084,35,7.00422729995942e-05,0.15966386554621848
Q6ICB4,1,0.0,0.0
Q6ICB0,3,2.2504729027642826e-05,0.0
Q6IA17,9,4.0624121605779573e-05,0.25
P30281,42,0.00011838560961380875,0.09407665505226481
P49795,16,0.0003413823204080857,0.06666666666666667
P49796,24,7.856380391485359e-05,0.08695652173913043
P49790,52,8.345182153391929e-05,0.15535444947209653
P49792,94,0.0005929181880518377,0.1322351864561885
B0I1T2,6,1.7112413527934286e-06,0.2
O60721,5,0.00015250639888648174,0.6
Q15935,1,0.0,0.0
P51116,73,0.0005534889073965779,0.05098934550989345
P51114,29,5.042611098153745e-05,0.1748768472906404
Q92913,7,2.3465093917773596e-06,0.0
Q9H7L9,11,1.5194351141473066e-06,0.5272727272727272
P35070,5,4.249225588617822e-06,0.3
Q9Y2T5,1,0.0,0.0
O60814,13,2.142301278831312e-06,0.10256410256410256
O60547,10,5.033913404065735e-06,0.2222222222222222
Q9Y2T1,15,1.9438537242779607e-05,0.23809523809523808
Q5T7V8,11,0.00010809978722849476,0.07272727272727272
O60542,1,0.0,0.0
O60543,5,1.0012245983747779e-05,0.1
Q02363,41,8.518194190733111e-05,0.08658536585365853
Q8N8Y2,4,2.9846571064748644e-07,0.0
O43497,2,1.351759623722954e-06,0.0
P28907,9,9.324854938942932e-07,0.4444444444444444
Q9P0L0,45,0.00028467320004475793,0.07575757575757576
P31483,32,4.8570673021619945e-05,0.22379032258064516
Q9P0L2,19,2.4820106072504526e-05,0.2222222222222222
Q92665,18,9.606605150324554e-06,0.0915032679738562
O00399,5,1.2264210219835837e-06,0.1
Q9P0L9,4,2.542658541975048e-07,0.0
P49789,13,1.0879228915594607e-05,0.10256410256410256
Q92738,6,8.608695828485471e-06,0.2
Q08174,4,8.656084946783e-06,0.0
P35251,46,5.6383547954845166e-05,0.2
P35250,44,7.150207285447223e-05,0.18921775898520085
Q08170,48,0.00010090446590724611,0.2712765957446808
